,symbol,quarter,year,label,concept,unit,value
0,BDX,Q3,2017,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,37166000000
1,BDX,FY,2017,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,37734000000
2,BDX,Q1,2018,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,55363000000
3,BDX,Q2,2018,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,54573000000
4,BDX,Q3,2018,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,53977000000
5,BDX,FY,2018,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,53904000000
6,BDX,Q1,2019,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,52932000000
7,BDX,Q2,2019,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,52598000000
8,BDX,Q3,2019,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,52233000000
9,BDX,FY,2019,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,51765000000
10,BDX,Q1,2020,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,51952000000
11,BDX,Q2,2020,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,53516000000
12,BDX,Q3,2020,Liabilities and Shareholders’ Equity,LiabilitiesAndStockholdersEquity,usd,53959000000
13,BDX,FY,2020,Accrued expenses,AccruedLiabilitiesCurrent,usd,2638000000
14,BDX,FY,2021,Total Shareholders’ Equity,StockholdersEquity,usd,23677000000
15,BDX,Q1,2022,"Property, Plant and Equipment",PropertyPlantAndEquipmentGross,usd,13031000000
16,BDX,Q2,2022,Short-term investments,OtherShortTermInvestments,usd,15000000
