company,Date,Open,High,Low,Close,Adj Close,Volume
AXP,2017-06-26,84.089996,84.639999,83.589996,84.239998,76.238289,3320800
AXP,2017-07-03,84.690002,85.879997,83.720001,84.330002,76.319771,11476100
AXP,2017-07-10,84.129997,85.559998,83.540001,85.279999,77.47081,16173400
AXP,2017-07-17,85.129997,86.279999,84.529999,85.589996,77.752426,19503000
AXP,2017-07-24,85.449997,86.099998,83.330002,84.800003,77.034782,21122900
AXP,2017-07-31,85.169998,86.330002,84.839996,85.970001,78.097633,14702900
AXP,2017-08-07,86.099998,86.669998,83.970001,84.290001,76.571472,14806700
AXP,2017-08-14,84.739998,87.779999,84.720001,85.379997,77.561653,18188900
AXP,2017-08-21,85.449997,85.959999,84.699997,85.470001,77.643417,10980800
AXP,2017-08-28,85.660004,86.540001,84.400002,86.139999,78.25206,13071600
AXP,2017-09-04,85.720001,85.910004,84.019997,84.25,76.535141,12280600
AXP,2017-09-11,84.970001,86.989998,84.970001,86.989998,79.024231,19683800
AXP,2017-09-18,87.080002,89.379997,86.949997,88.400002,80.305115,17337800
AXP,2017-09-25,88.279999,90.769997,87.839996,90.459999,82.176468,13404900
AXP,2017-10-02,90.440002,91.639999,90.099998,91.550003,83.166672,15353200
AXP,2017-10-09,91.589996,92.919998,91.260002,92.860001,84.682388,13455500
AXP,2017-10-16,93.040001,93.349998,90.040001,92.089996,83.980194,22908100
AXP,2017-10-23,92.220001,96.019997,92.220001,95.790001,87.354355,19059700
AXP,2017-10-30,95.730003,96.57,94.519997,96.43,87.937988,13665700
AXP,2017-11-06,96.349998,96.900002,93.279999,93.519997,85.284241,13877100
AXP,2017-11-13,93.0,94.040001,92.779999,93.690002,85.439278,14636500
AXP,2017-11-20,93.919998,94.709999,93.470001,93.480003,85.247772,9370000
AXP,2017-11-27,93.57,98.489998,93.360001,97.860001,89.24205,19366700
AXP,2017-12-04,98.620003,99.75,97.480003,98.550003,89.871269,18045700
AXP,2017-12-11,98.599998,99.660004,97.150002,98.519997,89.843918,21259900
AXP,2017-12-18,99.190002,100.529999,98.209999,98.739998,90.044556,14178800
AXP,2017-12-25,98.800003,100.25,98.129997,99.309998,90.564354,8116800
AXP,2018-01-01,99.730003,101.650002,98.220001,101.080002,92.17849,11395400
AXP,2018-01-08,101.0,101.589996,99.93,100.970001,92.403061,13131100
AXP,2018-01-15,102.010002,102.389999,96.349998,98.029999,89.712479,25880400
AXP,2018-01-22,97.260002,100.110001,96.839996,99.629997,91.176758,21352200
AXP,2018-01-29,99.75,100.18,96.639999,96.68,88.477043,17756900
AXP,2018-02-05,95.830002,96.720001,87.540001,91.720001,83.937889,31295200
AXP,2018-02-12,92.580002,97.489998,92.419998,96.790001,88.577713,20570800
AXP,2018-02-19,96.580002,98.839996,96.5,98.800003,90.417183,14656900
AXP,2018-02-26,99.43,102.120003,93.199997,95.599998,87.48867,22128600
AXP,2018-03-05,95.089996,99.110001,94.279999,99.050003,90.645966,16282200
AXP,2018-03-12,99.089996,99.699997,93.959999,95.610001,87.497849,20231300
AXP,2018-03-19,95.440002,96.269997,90.410004,90.449997,82.775627,16450300
AXP,2018-03-26,91.370003,94.370003,90.800003,93.279999,85.365532,17577400
AXP,2018-04-02,93.139999,95.050003,89.959999,91.910004,84.111771,17933300
AXP,2018-04-09,92.699997,94.300003,91.360001,93.029999,85.456367,17406200
AXP,2018-04-16,93.779999,102.959999,93.110001,100.790001,92.584602,27776200
AXP,2018-04-23,100.779999,101.709999,97.900002,99.610001,91.500687,18399500
AXP,2018-04-30,100.0,100.370003,95.510002,98.349998,90.343254,14959700
AXP,2018-05-07,98.529999,102.68,98.290001,101.419998,93.163315,13415200
AXP,2018-05-14,101.690002,102.150002,99.970001,100.989998,92.768341,13616000
